,games,gs,name,team,war,year,starter,height,weight,bmi,yoc
27,62.0,0.0,Fernando Abad,Athletics,-0.7,2015.0,rp,73,220,29.022330643647965,6.0
28,57.0,0.0,Fernando Abad,2 Teams,0.3,2016.0,rp,73,220,29.022330643647965,7.0
29,39.0,0.0,Fernando Abad,Twins,0.4,2016.0,rp,73,220,29.022330643647965,7.0
30,48.0,0.0,Fernando Abad,Red Sox,0.3,2017.0,rp,73,220,29.022330643647965,8.0
31,5.0,3.0,Glenn Abbott,Athletics,-0.1,1973.0,sp,78,200,23.10979618671927,1.0
32,19.0,17.0,Glenn Abbott,Athletics,1.3,1974.0,sp,78,200,23.10979618671927,2.0
33,30.0,15.0,Glenn Abbott,Athletics,0.3,1975.0,sp,78,200,23.10979618671927,3.0
34,19.0,10.0,Glenn Abbott,Athletics,0.4,1976.0,sp,78,200,23.10979618671927,4.0
35,36.0,34.0,Glenn Abbott,Mariners,1.5,1977.0,sp,78,200,23.10979618671927,5.0
36,29.0,28.0,Glenn Abbott,Mariners,1.2,1978.0,sp,78,200,23.10979618671927,6.0
37,23.0,19.0,Glenn Abbott,Mariners,0.2,1979.0,sp,78,200,23.10979618671927,7.0
38,31.0,31.0,Glenn Abbott,Mariners,2.5,1980.0,sp,78,200,23.10979618671927,8.0
39,22.0,20.0,Glenn Abbott,Mariners,1.4,1981.0,sp,78,200,23.10979618671927,9.0
40,21.0,21.0,Glenn Abbott,2 Teams,1.8,1983.0,sp,78,200,23.10979618671927,11.0
41,14.0,14.0,Glenn Abbott,Mariners,1.2,1983.0,sp,78,200,23.10979618671927,11.0
42,13.0,8.0,Glenn Abbott,Tigers,-0.3,1984.0,sp,78,200,23.10979618671927,12.0
43,29.0,29.0,Jim Abbott,Angels,2.5,1989.0,sp,75,210,26.24533333333333,1.0
44,33.0,33.0,Jim Abbott,Angels,2.8,1990.0,sp,75,210,26.24533333333333,2.0
45,34.0,34.0,Jim Abbott,Angels,5.5,1991.0,sp,75,210,26.24533333333333,3.0
46,29.0,29.0,Jim Abbott,Angels,4.4,1992.0,sp,75,210,26.24533333333333,4.0
47,32.0,32.0,Jim Abbott,Yankees,2.3,1993.0,sp,75,210,26.24533333333333,5.0
48,24.0,24.0,Jim Abbott,Yankees,1.3,1994.0,sp,75,210,26.24533333333333,6.0
49,30.0,30.0,Jim Abbott,2 Teams,3.5,1995.0,sp,75,210,26.24533333333333,7.0
50,17.0,17.0,Jim Abbott,White Sox,1.6,1995.0,sp,75,210,26.24533333333333,7.0
51,27.0,23.0,Jim Abbott,Angels,0.0,1996.0,sp,75,210,26.24533333333333,8.0
52,5.0,5.0,Jim Abbott,White Sox,0.5,1998.0,sp,75,210,26.24533333333333,10.0
53,20.0,15.0,Jim Abbott,Brewers,-0.2,1999.0,sp,75,210,26.24533333333333,11.0
54,5.0,3.0,Kyle Abbott,Angels,0.0,1991.0,sp,76,200,24.342105263157897,1.0
55,31.0,19.0,Kyle Abbott,Phillies,-0.1,1992.0,sp,76,200,24.342105263157897,2.0
56,18.0,0.0,Kyle Abbott,Phillies,-0.1,1995.0,rp,76,200,24.342105263157897,5.0
57,3.0,0.0,Kyle Abbott,Angels,-0.2,1996.0,rp,76,200,24.342105263157897,6.0
58,7.0,7.0,Paul Abbott,Twins,0.4,1990.0,sp,75,185,23.120888888888892,1.0
59,15.0,3.0,Paul Abbott,Twins,-0.1,1991.0,rp,75,185,23.120888888888892,2.0
60,6.0,0.0,Paul Abbott,Twins,0.1,1992.0,rp,75,185,23.120888888888892,3.0
61,5.0,5.0,Paul Abbott,Indians,-0.4,1993.0,sp,75,185,23.120888888888892,4.0
62,4.0,4.0,Paul Abbott,Mariners,0.6,1998.0,sp,75,185,23.120888888888892,9.0
63,25.0,7.0,Paul Abbott,Mariners,1.1,1999.0,rp,75,185,23.120888888888892,10.0
64,35.0,27.0,Paul Abbott,Mariners,1.4,2000.0,sp,75,185,23.120888888888892,11.0
65,28.0,27.0,Paul Abbott,Mariners,0.8,2001.0,sp,75,185,23.120888888888892,12.0
66,7.0,5.0,Paul Abbott,Mariners,-0.2,2002.0,sp,75,185,23.120888888888892,13.0
67,10.0,8.0,Paul Abbott,Royals,0.1,2003.0,sp,75,185,23.120888888888892,14.0
68,20.0,19.0,Paul Abbott,2 Teams,-1.0,2004.0,sp,75,185,23.120888888888892,15.0
69,10.0,9.0,Paul Abbott,Devil Rays,-0.2,2004.0,sp,75,185,23.120888888888892,15.0
70,6.0,5.0,Johnny Abrego,Cubs,0.1,1985.0,sp,72,185,25.0877700617284,1.0
71,7.0,0.0,Juan Abreu,Astros,0.0,2011.0,rp,72,185,25.0877700617284,1.0
72,7.0,0.0,Winston Abreu,Orioles,0.0,2006.0,rp,74,170,21.824324324324323,1.0
73,26.0,0.0,Winston Abreu,Nationals,-0.1,2007.0,rp,74,170,21.824324324324323,2.0
74,5.0,0.0,Winston Abreu,2 Teams,-0.1,2009.0,rp,74,170,21.824324324324323,4.0
75,2.0,0.0,Winston Abreu,Rays,0.0,2009.0,rp,74,170,21.824324324324323,4.0
76,28.0,0.0,Jeremy Accardo,Giants,0.2,2005.0,rp,72,195,26.44386574074074,1.0
77,65.0,0.0,Jeremy Accardo,2 Teams,0.7,2006.0,rp,72,195,26.44386574074074,2.0
78,38.0,0.0,Jeremy Accardo,Giants,0.9,2006.0,rp,72,195,26.44386574074074,2.0
79,64.0,0.0,Jeremy Accardo,Blue Jays,1.2,2007.0,rp,72,195,26.44386574074074,3.0
80,16.0,0.0,Jeremy Accardo,Blue Jays,0.0,2008.0,rp,72,195,26.44386574074074,4.0
81,26.0,0.0,Jeremy Accardo,Blue Jays,-0.1,2009.0,rp,72,195,26.44386574074074,5.0
82,5.0,0.0,Jeremy Accardo,Blue Jays,0.0,2010.0,rp,72,195,26.44386574074074,6.0
83,31.0,0.0,Jeremy Accardo,Orioles,-0.3,2011.0,rp,72,195,26.44386574074074,7.0
84,27.0,0.0,Jeremy Accardo,2 Teams,0.1,2012.0,rp,72,195,26.44386574074074,8.0
85,26.0,0.0,Jeremy Accardo,Indians,0.1,2012.0,rp,72,195,26.44386574074074,8.0
86,18.0,18.0,Jose Acevedo,Reds,0.6,2001.0,sp,72,185,25.0877700617284,1.0
87,6.0,5.0,Jose Acevedo,Reds,-0.5,2002.0,sp,72,185,25.0877700617284,2.0
88,5.0,4.0,Jose Acevedo,Reds,0.6,2003.0,sp,72,185,25.0877700617284,3.0
89,39.0,27.0,Jose Acevedo,Reds,1.3,2004.0,sp,72,185,25.0877700617284,4.0
90,36.0,5.0,Jose Acevedo,Rockies,-0.2,2005.0,rp,72,185,25.0877700617284,5.0
91,17.0,11.0,Juan Acevedo,Rockies,-0.1,1995.0,sp,74,195,25.033783783783786,1.0
92,25.0,2.0,Juan Acevedo,Mets,-0.2,1997.0,rp,74,195,25.033783783783786,3.0
93,50.0,9.0,Juan Acevedo,Cardinals,1.3,1998.0,rp,74,195,25.033783783783786,4.0
94,50.0,12.0,Juan Acevedo,Cardinals,-0.3,1999.0,rp,74,195,25.033783783783786,5.0
95,62.0,0.0,Juan Acevedo,Brewers,0.1,2000.0,rp,74,195,25.033783783783786,6.0
96,58.0,0.0,Juan Acevedo,2 Teams,0.1,2001.0,rp,74,195,25.033783783783786,7.0
97,38.0,0.0,Juan Acevedo,Rockies,0.1,2001.0,rp,74,195,25.033783783783786,7.0
98,65.0,0.0,Juan Acevedo,Tigers,0.9,2002.0,rp,74,195,25.033783783783786,8.0
99,39.0,0.0,Juan Acevedo,2 Teams,-0.2,2003.0,rp,74,195,25.033783783783786,9.0
100,25.0,0.0,Juan Acevedo,Yankees,-0.2,2003.0,rp,74,195,25.033783783783786,9.0
101,6.0,4.0,Alfredo Aceves,Yankees,0.1,2008.0,sp,74,205,26.31756756756757,1.0
102,43.0,1.0,Alfredo Aceves,Yankees,1.4,2009.0,rp,74,205,26.31756756756757,2.0
103,10.0,0.0,Alfredo Aceves,Yankees,-0.1,2010.0,rp,74,205,26.31756756756757,3.0
104,55.0,4.0,Alfredo Aceves,Red Sox,0.6,2011.0,rp,74,205,26.31756756756757,4.0
105,69.0,0.0,Alfredo Aceves,Red Sox,0.1,2012.0,rp,74,205,26.31756756756757,5.0
106,11.0,6.0,Alfredo Aceves,Red Sox,-0.6,2013.0,sp,74,205,26.31756756756757,6.0
107,10.0,0.0,Alfredo Aceves,Yankees,-0.3,2014.0,rp,74,205,26.31756756756757,7.0
108,38.0,5.0,Jim Acker,Blue Jays,0.3,1983.0,rp,74,212,27.216216216216218,1.0
109,32.0,3.0,Jim Acker,Blue Jays,0.6,1984.0,rp,74,212,27.216216216216218,2.0
110,61.0,0.0,Jim Acker,Blue Jays,-0.1,1985.0,rp,74,212,27.216216216216218,3.0
111,44.0,19.0,Jim Acker,2 Teams,1.5,1986.0,rp,74,212,27.216216216216218,4.0
112,23.0,5.0,Jim Acker,Blue Jays,0.4,1986.0,rp,74,212,27.216216216216218,4.0
113,68.0,0.0,Jim Acker,Braves,0.2,1987.0,rp,74,212,27.216216216216218,5.0
114,21.0,1.0,Jim Acker,Braves,-0.3,1988.0,rp,74,212,27.216216216216218,6.0
115,73.0,0.0,Jim Acker,2 Teams,1.9,1989.0,rp,74,212,27.216216216216218,7.0
116,59.0,0.0,Jim Acker,Braves,1.4,1989.0,rp,74,212,27.216216216216218,7.0
117,59.0,0.0,Jim Acker,Blue Jays,0.3,1990.0,rp,74,212,27.216216216216218,8.0
118,54.0,4.0,Jim Acker,Blue Jays,-0.8,1991.0,rp,74,212,27.216216216216218,9.0
119,17.0,0.0,Jim Acker,Mariners,-0.2,1992.0,rp,74,212,27.216216216216218,10.0
120,2.0,2.0,Fritz Ackley,White Sox,0.0,1963.0,sp,74,202,25.932432432432435,1.0
121,3.0,2.0,Fritz Ackley,White Sox,-0.2,1964.0,sp,74,202,25.932432432432435,2.0
122,26.0,0.0,Cy Acosta,White Sox,0.2,1972.0,rp,70,165,23.672448979591838,1.0
123,48.0,0.0,Cy Acosta,White Sox,0.3,1973.0,rp,70,165,23.672448979591838,2.0
124,27.0,0.0,Cy Acosta,White Sox,-0.3,1974.0,rp,70,165,23.672448979591838,3.0
125,6.0,0.0,Cy Acosta,Phillies,-0.2,1975.0,rp,70,165,23.672448979591838,4.0
126,3.0,0.0,Ed Acosta,Pirates,-0.2,1970.0,rp,77,215,25.492494518468543,1.0
127,8.0,6.0,Ed Acosta,Padres,0.4,1971.0,sp,77,215,25.492494518468543,2.0
128,46.0,2.0,Ed Acosta,Padres,0.1,1972.0,rp,77,215,25.492494518468543,3.0
129,21.0,0.0,Manny Acosta,Braves,0.1,2007.0,rp,76,215,26.167763157894736,1.0
130,46.0,0.0,Manny Acosta,Braves,-0.4,2008.0,rp,76,215,26.167763157894736,2.0
131,36.0,0.0,Manny Acosta,Braves,0.0,2009.0,rp,76,215,26.167763157894736,3.0
132,41.0,0.0,Manny Acosta,Mets,0.3,2010.0,rp,76,215,26.167763157894736,4.0
133,44.0,0.0,Manny Acosta,Mets,0.2,2011.0,rp,76,215,26.167763157894736,5.0
134,45.0,0.0,Manny Acosta,Mets,-0.4,2012.0,rp,76,215,26.167763157894736,6.0
135,34.0,0.0,Mark Acre,Athletics,-0.2,1994.0,rp,80,235,25.81328125,1.0
136,43.0,0.0,Mark Acre,Athletics,0.0,1995.0,rp,80,235,25.81328125,2.0
137,22.0,0.0,Mark Acre,Athletics,0.0,1996.0,rp,80,235,25.81328125,3.0
138,15.0,0.0,Mark Acre,Athletics,0.1,1997.0,rp,80,235,25.81328125,4.0
139,6.0,0.0,Austin Adams,Indians,0.0,2014.0,rp,71,200,27.891291410434434,1.0
140,28.0,0.0,Austin Adams,Indians,0.1,2015.0,rp,71,200,27.891291410434434,2.0
141,19.0,0.0,Austin Adams,Indians,-0.2,2016.0,rp,71,200,27.891291410434434,3.0
142,46.0,0.0,Mike Adams,Brewers,0.7,2004.0,rp,77,210,24.899645808736715,1.0
143,13.0,0.0,Mike Adams,Brewers,-0.1,2005.0,rp,77,210,24.899645808736715,2.0
144,2.0,0.0,Mike Adams,Brewers,-0.2,2006.0,rp,77,210,24.899645808736715,3.0
145,54.0,0.0,Mike Adams,Padres,1.0,2008.0,rp,77,210,24.899645808736715,5.0
146,37.0,0.0,Mike Adams,Padres,1.4,2009.0,rp,77,210,24.899645808736715,6.0
147,70.0,0.0,Mike Adams,Padres,1.9,2010.0,rp,77,210,24.899645808736715,7.0
148,75.0,0.0,Mike Adams,2 Teams,1.8,2011.0,rp,77,210,24.899645808736715,8.0
149,48.0,0.0,Mike Adams,Padres,1.4,2011.0,rp,77,210,24.899645808736715,8.0
150,61.0,0.0,Mike Adams,Rangers,0.7,2012.0,rp,77,210,24.899645808736715,9.0
151,28.0,0.0,Mike Adams,Phillies,-0.3,2013.0,rp,77,210,24.899645808736715,10.0
152,22.0,0.0,Mike Adams,Phillies,0.4,2014.0,rp,77,210,24.899645808736715,11.0
153,18.0,0.0,Terry Adams,Cubs,0.3,1995.0,rp,75,205,25.620444444444445,1.0
154,69.0,0.0,Terry Adams,Cubs,0.8,1996.0,rp,75,205,25.620444444444445,2.0
155,74.0,0.0,Terry Adams,Cubs,1.0,1997.0,rp,75,205,25.620444444444445,3.0
156,63.0,0.0,Terry Adams,Cubs,0.5,1998.0,rp,75,205,25.620444444444445,4.0
157,52.0,0.0,Terry Adams,Cubs,0.3,1999.0,rp,75,205,25.620444444444445,5.0
158,66.0,0.0,Terry Adams,Dodgers,0.8,2000.0,rp,75,205,25.620444444444445,6.0
159,43.0,22.0,Terry Adams,Dodgers,4.3,2001.0,sp,75,205,25.620444444444445,7.0
160,46.0,19.0,Terry Adams,Phillies,1.9,2002.0,rp,75,205,25.620444444444445,8.0
161,66.0,0.0,Terry Adams,Phillies,1.5,2003.0,rp,75,205,25.620444444444445,9.0
162,61.0,0.0,Terry Adams,2 Teams,0.2,2004.0,rp,75,205,25.620444444444445,10.0
163,42.0,0.0,Terry Adams,Blue Jays,0.4,2004.0,rp,75,205,25.620444444444445,10.0
164,16.0,0.0,Terry Adams,Phillies,-0.4,2005.0,rp,75,205,25.620444444444445,11.0
165,12.0,12.0,Willie Adams,Athletics,1.4,1996.0,sp,79,215,24.2180740265983,1.0
166,13.0,12.0,Willie Adams,Athletics,0.0,1997.0,sp,79,215,24.2180740265983,2.0
167,9.0,0.0,Joel Adamson,Marlins,-0.1,1996.0,rp,76,185,22.51644736842105,1.0
168,30.0,6.0,Joel Adamson,Brewers,0.3,1997.0,rp,76,185,22.51644736842105,2.0
169,5.0,5.0,Joel Adamson,Diamondbacks,-0.2,1998.0,sp,76,185,22.51644736842105,3.0
170,3.0,2.0,Mike Adamson,Orioles,-0.2,1967.0,sp,74,185,23.75,1.0
171,2.0,2.0,Mike Adamson,Orioles,-0.2,1968.0,sp,74,185,23.75,2.0
172,6.0,0.0,Mike Adamson,Orioles,0.0,1969.0,rp,74,185,23.75,3.0
173,3.0,3.0,Nick Adenhart,Angels,0.0,2008.0,sp,75,185,23.120888888888892,1.0
174,1.0,1.0,Nick Adenhart,Angels,0.2,2009.0,sp,75,185,23.120888888888892,2.0
175,4.0,0.0,Jon Adkins,White Sox,-0.1,2003.0,rp,72,200,27.12191358024691,1.0
176,50.0,0.0,Jon Adkins,White Sox,-0.2,2004.0,rp,72,200,27.12191358024691,2.0
177,5.0,0.0,Jon Adkins,White Sox,0.1,2005.0,rp,72,200,27.12191358024691,3.0
178,55.0,0.0,Jon Adkins,Padres,0.3,2006.0,rp,72,200,27.12191358024691,4.0
179,1.0,0.0,Jon Adkins,Mets,0.0,2007.0,rp,72,200,27.12191358024691,5.0
180,4.0,0.0,Jon Adkins,Reds,-0.1,2008.0,rp,72,200,27.12191358024691,6.0
181,5.0,5.0,Steve Adkins,Yankees,-0.5,1990.0,sp,78,210,24.26528599605523,1.0
182,13.0,13.0,Tim Adleman,Reds,0.0,2016.0,sp,77,225,26.6781919379322,1.0
183,30.0,20.0,Tim Adleman,Reds,-0.4,2017.0,sp,77,225,26.6781919379322,2.0
184,34.0,7.0,Jeremy Affeldt,Royals,0.9,2002.0,rp,76,225,27.384868421052634,1.0
185,36.0,18.0,Jeremy Affeldt,Royals,2.5,2003.0,sp,76,225,27.384868421052634,2.0
186,38.0,8.0,Jeremy Affeldt,Royals,1.0,2004.0,rp,76,225,27.384868421052634,3.0
187,49.0,0.0,Jeremy Affeldt,Royals,0.3,2005.0,rp,76,225,27.384868421052634,4.0
188,54.0,9.0,Jeremy Affeldt,2 Teams,-0.5,2006.0,rp,76,225,27.384868421052634,5.0
189,27.0,9.0,Jeremy Affeldt,Royals,-0.4,2006.0,rp,76,225,27.384868421052634,5.0
190,75.0,0.0,Jeremy Affeldt,Rockies,0.4,2007.0,rp,76,225,27.384868421052634,6.0
191,74.0,0.0,Jeremy Affeldt,Reds,0.6,2008.0,rp,76,225,27.384868421052634,7.0
192,74.0,0.0,Jeremy Affeldt,Giants,0.6,2009.0,rp,76,225,27.384868421052634,8.0
193,53.0,0.0,Jeremy Affeldt,Giants,0.1,2010.0,rp,76,225,27.384868421052634,9.0
194,67.0,0.0,Jeremy Affeldt,Giants,0.1,2011.0,rp,76,225,27.384868421052634,10.0
195,67.0,0.0,Jeremy Affeldt,Giants,0.9,2012.0,rp,76,225,27.384868421052634,11.0
196,39.0,0.0,Jeremy Affeldt,Giants,-0.5,2013.0,rp,76,225,27.384868421052634,12.0
197,62.0,0.0,Jeremy Affeldt,Giants,0.5,2014.0,rp,76,225,27.384868421052634,13.0
198,52.0,0.0,Jeremy Affeldt,Giants,-0.8,2015.0,rp,76,225,27.384868421052634,14.0
199,2.0,0.0,Juan Agosto,White Sox,0.0,1981.0,rp,74,190,24.39189189189189,1.0
200,1.0,0.0,Juan Agosto,White Sox,0.0,1982.0,rp,74,190,24.39189189189189,2.0
201,39.0,0.0,Juan Agosto,White Sox,0.9,1983.0,rp,74,190,24.39189189189189,3.0
202,49.0,0.0,Juan Agosto,White Sox,0.0,1984.0,rp,74,190,24.39189189189189,4.0
203,54.0,0.0,Juan Agosto,White Sox,0.7,1985.0,rp,74,190,24.39189189189189,5.0
204,26.0,1.0,Juan Agosto,2 Teams,-0.1,1986.0,rp,74,190,24.39189189189189,6.0
205,9.0,0.0,Juan Agosto,White Sox,0.0,1986.0,rp,74,190,24.39189189189189,6.0
206,27.0,0.0,Juan Agosto,Astros,0.0,1987.0,rp,74,190,24.39189189189189,7.0
207,75.0,0.0,Juan Agosto,Astros,-0.6,1988.0,rp,74,190,24.39189189189189,8.0
208,71.0,0.0,Juan Agosto,Astros,0.2,1989.0,rp,74,190,24.39189189189189,9.0
209,82.0,0.0,Juan Agosto,Astros,0.0,1990.0,rp,74,190,24.39189189189189,10.0
210,72.0,0.0,Juan Agosto,Cardinals,-0.4,1991.0,rp,74,190,24.39189189189189,11.0
211,39.0,1.0,Juan Agosto,2 Teams,0.6,1992.0,rp,74,190,24.39189189189189,12.0
212,22.0,0.0,Juan Agosto,Cardinals,-0.1,1992.0,rp,74,190,24.39189189189189,12.0
213,6.0,0.0,Juan Agosto,Astros,0.0,1993.0,rp,74,190,24.39189189189189,13.0
214,21.0,19.0,Rick Aguilera,Mets,2.0,1985.0,sp,77,205,24.306797099004893,1.0
215,28.0,20.0,Rick Aguilera,Mets,1.6,1986.0,sp,77,205,24.306797099004893,2.0
216,18.0,17.0,Rick Aguilera,Mets,1.6,1987.0,sp,77,205,24.306797099004893,3.0
217,11.0,3.0,Rick Aguilera,Mets,0.0,1988.0,rp,77,205,24.306797099004893,4.0
218,47.0,11.0,Rick Aguilera,2 Teams,3.6,1989.0,rp,77,205,24.306797099004893,5.0
219,36.0,0.0,Rick Aguilera,Mets,1.7,1989.0,rp,77,205,24.306797099004893,5.0
220,56.0,0.0,Rick Aguilera,Twins,1.3,1990.0,rp,77,205,24.306797099004893,6.0
221,63.0,0.0,Rick Aguilera,Twins,1.5,1991.0,rp,77,205,24.306797099004893,7.0
222,64.0,0.0,Rick Aguilera,Twins,0.8,1992.0,rp,77,205,24.306797099004893,8.0
223,65.0,0.0,Rick Aguilera,Twins,1.0,1993.0,rp,77,205,24.306797099004893,9.0
224,44.0,0.0,Rick Aguilera,Twins,0.8,1994.0,rp,77,205,24.306797099004893,10.0
225,52.0,0.0,Rick Aguilera,2 Teams,1.3,1995.0,rp,77,205,24.306797099004893,11.0
226,22.0,0.0,Rick Aguilera,Twins,0.9,1995.0,rp,77,205,24.306797099004893,11.0
227,19.0,19.0,Rick Aguilera,Twins,1.5,1996.0,sp,77,205,24.306797099004893,12.0
228,61.0,0.0,Rick Aguilera,Twins,0.8,1997.0,rp,77,205,24.306797099004893,13.0
229,68.0,0.0,Rick Aguilera,Twins,1.4,1998.0,rp,77,205,24.306797099004893,14.0
230,61.0,0.0,Rick Aguilera,2 Teams,0.8,1999.0,rp,77,205,24.306797099004893,15.0
231,17.0,0.0,Rick Aguilera,Twins,0.4,1999.0,rp,77,205,24.306797099004893,15.0
232,54.0,0.0,Rick Aguilera,Cubs,-0.7,2000.0,rp,77,205,24.306797099004893,16.0
233,4.0,3.0,Pat Ahearne,Tigers,0.0,1995.0,sp,75,195,24.370666666666665,1.0
234,2.0,0.0,Kurt Ainsworth,Giants,-0.1,2001.0,rp,75,192,23.995733333333334,1.0
235,6.0,4.0,Kurt Ainsworth,Giants,0.3,2002.0,sp,75,192,23.995733333333334,2.0
236,14.0,11.0,Kurt Ainsworth,2 Teams,0.7,2003.0,sp,75,192,23.995733333333334,3.0
237,11.0,11.0,Kurt Ainsworth,Giants,0.8,2003.0,sp,75,192,23.995733333333334,3.0
238,7.0,7.0,Kurt Ainsworth,Orioles,-0.2,2004.0,sp,75,192,23.995733333333334,4.0
239,9.0,0.0,Jack Aker,Athletics,-0.9,1964.0,rp,74,190,24.39189189189189,1.0
240,34.0,0.0,Jack Aker,Athletics,0.2,1965.0,rp,74,190,24.39189189189189,2.0
241,66.0,0.0,Jack Aker,Athletics,1.2,1966.0,rp,74,190,24.39189189189189,3.0
242,57.0,0.0,Jack Aker,Athletics,0.0,1967.0,rp,74,190,24.39189189189189,4.0
243,54.0,0.0,Jack Aker,Athletics,-0.7,1968.0,rp,74,190,24.39189189189189,5.0
244,53.0,0.0,Jack Aker,2 Teams,-0.2,1969.0,rp,74,190,24.39189189189189,6.0
245,15.0,0.0,Jack Aker,Pilots,-0.6,1969.0,rp,74,190,24.39189189189189,6.0
246,41.0,0.0,Jack Aker,Yankees,0.6,1970.0,rp,74,190,24.39189189189189,7.0
247,41.0,0.0,Jack Aker,Yankees,-0.1,1971.0,rp,74,190,24.39189189189189,8.0
248,52.0,0.0,Jack Aker,2 Teams,0.3,1972.0,rp,74,190,24.39189189189189,9.0
249,4.0,0.0,Jack Aker,Yankees,-0.1,1972.0,rp,74,190,24.39189189189189,9.0
250,47.0,0.0,Jack Aker,Cubs,-0.3,1973.0,rp,74,190,24.39189189189189,10.0
251,41.0,0.0,Jack Aker,2 Teams,-0.5,1974.0,rp,74,190,24.39189189189189,11.0
252,17.0,0.0,Jack Aker,Braves,-0.3,1974.0,rp,74,190,24.39189189189189,11.0
253,2.0,0.0,Darrel Akerfelds,Athletics,-0.1,1986.0,rp,74,210,26.959459459459456,1.0
254,16.0,13.0,Darrel Akerfelds,Indians,-0.8,1987.0,sp,74,210,26.959459459459456,2.0
255,6.0,0.0,Darrel Akerfelds,Rangers,0.0,1989.0,rp,74,210,26.959459459459456,4.0
256,71.0,0.0,Darrel Akerfelds,Phillies,-1.3,1990.0,rp,74,210,26.959459459459456,5.0
257,30.0,0.0,Darrel Akerfelds,Phillies,-0.4,1991.0,rp,74,210,26.959459459459456,6.0
258,3.0,0.0,Gibson Alba,Cardinals,0.0,1988.0,rp,74,160,20.54054054054054,1.0
259,14.0,0.0,Jonathan Albaladejo,Nationals,0.3,2007.0,rp,77,250,29.642435486591328,1.0
260,7.0,0.0,Jonathan Albaladejo,Yankees,0.1,2008.0,rp,77,250,29.642435486591328,2.0
261,32.0,0.0,Jonathan Albaladejo,Yankees,-0.3,2009.0,rp,77,250,29.642435486591328,3.0
262,10.0,0.0,Jonathan Albaladejo,Yankees,-0.1,2010.0,rp,77,250,29.642435486591328,4.0
263,3.0,0.0,Jonathan Albaladejo,Diamondbacks,-0.1,2012.0,rp,77,250,29.642435486591328,6.0
264,12.0,0.0,Jose Alberro,Rangers,-0.1,1995.0,rp,74,190,24.39189189189189,1.0
265,5.0,1.0,Jose Alberro,Rangers,0.0,1996.0,rp,74,190,24.39189189189189,2.0
266,10.0,4.0,Jose Alberro,Rangers,-0.2,1997.0,rp,74,190,24.39189189189189,3.0
267,10.0,10.0,Andrew Albers,Twins,0.8,2013.0,sp,73,200,26.383936948770877,1.0
268,1.0,0.0,Andrew Albers,Blue Jays,-0.2,2015.0,rp,73,200,26.383936948770877,3.0
269,6.0,2.0,Andrew Albers,Twins,-0.2,2016.0,rp,73,200,26.383936948770877,4.0
